id,rank,name,country,rating,trend
3007,1,Mohammad Nabi,Afghanistan,312,Flat
544,2,Shakib Al Hasan,Bangladesh,310,Flat
9354,3,Sikandar Raza,Zimbabwe,288,Flat
10120,4,Assad Vala,Papua New Guinea,248,Up
10738,5,Rashid Khan,Afghanistan,244,Down
7662,6,Glenn Maxwell,Australia,237,Flat
7973,6,Gerhard Erasmus,Namibia,237,Up
10466,8,Zeeshan Maqsood,Oman,235,Down
10100,9,Mitchell Santner,New Zealand,233,Down
11081,10,Mehidy Hasan Miraz,Bangladesh,216,Down
587,11,Ravindra Jadeja,India,209,Down
6258,11,Josh Hazlewood,Australia,209,Down
14565,11,Marco Jansen,South Africa,209,Down
9383,14,Michael Leask,Scotland,208,Down
11177,15,Rachin Ravindra,New Zealand,202,Down
